0,1,2,3,4
160.0,37.374,6.4416,7.0,1.0
161.0,41.724,6.9674,7.0,1.0
162.0,133.048,15.9217,16.0,3.0
163.0,223.72,23.0588,21.33,3.0
164.0,68.365,9.9061,9.33,1.0
165.0,176.788,19.4968,19.0,3.0
166.0,40.474,6.818,7.0,1.0
167.0,178.171,19.6054,19.0,3.0
168.0,174.413,19.3098,19.0,2.0
169.0,156.176,17.8482,17.33,2.0
170.0,60.195,9.0471,9.0,2.0
171.0,159.59,18.1254,17.33,2.0
172.0,51.071,8.0471,0.0,0.0
173.0,135.831,16.1583,16.0,3.0
174.0,168.394,18.8325,19.0,2.0
175.0,51.478,8.0927,0.0,0.0
176.0,32.317,5.8076,5.33,1.0
177.0,43.231,7.1459,7.0,1.0
178.0,33.628,5.9746,0.0,0.0
179.0,41.391,6.9278,7.0,1.0
180.0,52.414,8.1973,9.0,1.0
181.0,40.867,6.8651,7.0,1.0
182.0,41.901,6.9885,7.0,1.0
183.0,41.569,6.949,7.0,1.0
184.0,155.997,17.8337,17.33,2.0
185.0,164.27,18.5027,19.0,2.0
186.0,34.525,6.0877,0.0,0.0
187.0,88.135,11.8719,12.0,3.0
188.0,35.58,6.2197,0.0,0.0
189.0,58.498,8.8646,9.0,2.0
190.0,59.407,8.9626,9.0,2.0
191.0,156.648,17.8867,17.33,2.0
192.0,33.693,5.9828,0.0,0.0
193.0,42.822,7.0976,7.0,1.0
194.0,30.624,5.5891,5.33,1.0
195.0,52.892,8.2505,9.0,1.0
196.0,51.797,8.1284,0.0,0.0
197.0,37.667,6.4776,7.0,1.0
198.0,169.947,18.9561,19.0,1.0
199.0,48.674,7.776,0.0,0.0
200.0,40.981,6.8788,7.0,1.0
201.0,50.968,8.0355,0.0,0.0
202.0,38.528,6.5828,7.0,1.0
203.0,42.935,7.111,7.0,1.0
204.0,79.232,11.0043,12.0,2.0
205.0,133.824,15.9878,16.0,3.0
206.0,43.869,7.2209,7.0,1.0
207.0,18.753,3.9405,4.0,2.0
208.0,167.318,18.7467,19.0,2.0
209.0,43.51,7.1787,7.0,1.0
211.0,42.594,7.0707,7.0,1.0
212.0,31.841,5.7465,5.33,1.0
213.0,54.024,8.376,9.0,1.0
216.0,36.615,6.3481,0.0,0.0
217.0,59.626,8.9861,9.0,2.0
218.0,54.789,8.4603,9.0,1.0
