FIELD_LABELS,t4,t533,t7,t9,t12,t16,t19,t21,t25,e
FIELD_COLORS,#fde725,#440154,#482173,#433e85,#38588c,#2d708e,#25858e,#1e9b8a,#2ab07f,#52c569

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
ph258,  0,  0,  0,  0,  0,  0,  0,  4.38712124425133,  0,  0
ph259,  0,  0,  0,  0,  0,  0,  4.29904312953163,  0,  0,  0
ph260,  0,  0,  0,  0,  0,  0,  0,  4.4343196413618,  0,  0
ph261,  0,  0,  0,  2.31817220300303,  0,  0,  0,  0,  0,  0
ph262,  2.70326684809559,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph263,  2.68481873755322,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph264,  0,  0,  0,  2.45555737551287,  0,  0,  0,  0,  0,  0
ph265,  3.15380533607904,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph266,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4.8656343044535
ph267,  0,  0,  0,  2.44546186717836,  0,  0,  0,  0,  0,  0
ph268,  0,  0,  0,  0,  0,  0,  0,  4.40019634202658,  0,  0
ph269,  0,  0,  0,  0,  0,  0,  4.30332412685951,  0,  0,  0
ph270,  0,  0,  0,  2.53729606709084,  0,  0,  0,  0,  0,  0
ph271,  0,  0,  0,  0,  0,  0,  0,  4.44359836391136,  0,  0
ph272,  0,  1.22974171998411,  0,  0,  0,  0,  0,  0,  0,  0
ph273,  0,  0,  0,  0,  2.8967077888254,  0,  0,  0,  0,  0
ph274,  0,  0,  0,  0,  0,  0,  4.22731750690251,  0,  0,  0
ph275,  0,  0,  0,  2.28047385056672,  0,  0,  0,  0,  0,  0
ph276,  0,  0,  0,  2.34833866250714,  0,  0,  0,  0,  0,  0
ph277,  0,  0,  0,  2.22160645373214,  0,  0,  0,  0,  0,  0
ph278,  0,  0,  0,  0,  0,  0,  4.21254015783075,  0,  0,  0
ph279,  0,  0,  0,  0,  0,  0,  0,  4.37896239502459,  0,  0
ph280,  2.15076274435542,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph281,  3.25122675045537,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph283,  2.03051265202529,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph285,  0,  0,  0,  0,  2.72721254372062,  0,  0,  0,  0,  0
ph286,  0,  1.10190215595312,  0,  0,  0,  0,  0,  0,  0,  0
ph288,  0,  0,  0,  0,  0,  0,  0,  4.35771034050674,  0,  0
ph289,  0,  0,  0,  0,  0,  3.77966683286619,  0,  0,  0,  0
ph290,  0,  0,  0,  0,  0,  0,  4.29918969833393,  0,  0,  0
ph291,  3.27364642755644,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph292,  0,  0,  0,  2.35512200910098,  0,  0,  0,  0,  0,  0
ph293,  2.19243091200174,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph294,  0,  0,  0,  0,  0,  0,  4.24720598552613,  0,  0,  0
ph295,  0,  0,  0,  0,  0,  0,  4.15545579117189,  0,  0,  0
ph297,  0,  0,  0,  0,  2.76232223664025,  0,  0,  0,  0,  0
ph298,  0,  0,  0,  0,  0,  0,  4.10890076292495,  0,  0,  0
ph299,  0,  0,  1.9852271667297,  0,  0,  0,  0,  0,  0,  0
ph300,  0,  0,  0,  0,  0,  0,  0,  4.40331033439433,  0,  0
ph301,  0,  0,  0,  2.26104181070116,  0,  0,  0,  0,  0,  0
ph302,  0,  0,  0,  0,  0,  0,  4.03764578410975,  0,  0,  0
ph303,  0,  0,  0,  0,  0,  0,  0,  4.45713459431804,  0,  0
ph304,  0,  0,  0,  0,  0,  3.45290837123223,  0,  0,  0,  0
ph305,  0,  0,  0,  0,  0,  0,  4.30943997336562,  0,  0,  0
ph306,  0,  0,  0,  2.30815697511476,  0,  0,  0,  0,  0,  0
ph307,  2.12163711829091,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph308,  0,  1.20139861997432,  0,  0,  0,  0,  0,  0,  0,  0
ph309,  2.62740255859321,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph310,  0,  0,  0,  0,  3.0590956522222,  0,  0,  0,  0,  0
ph312,  0,  0,  0,  2.42897983312363,  0,  0,  0,  0,  0,  0
ph313,  2.57664306286428,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph314,  0,  1.40115258344841,  0,  0,  0,  0,  0,  0,  0,  0
ph315,  0,  0,  0,  0,  0,  0,  4.13855851851984,  0,  0,  0
ph316,  0,  0,  0,  0,  0,  0,  4.32045760015396,  0,  0,  0
ph317,  0,  0,  0,  0,  0,  3.78083500173823,  0,  0,  0,  0
ph318,  0,  0,  0,  2.07008873511171,  0,  0,  0,  0,  0,  0
ph319,  0,  0,  0,  2.25833047261243,  0,  0,  0,  0,  0,  0
ph320,  0,  0,  0,  2.32203629295805,  0,  0,  0,  0,  0,  0
ph321,  0,  0,  0,  0,  0,  0,  4.11597999225616,  0,  0,  0
ph322,  0,  0,  0,  2.3741700760685,  0,  0,  0,  0,  0,  0
ph323,  0,  0,  0,  2.20824411448628,  0,  0,  0,  0,  0,  0
ph324,  2.57893871309339,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph325,  0,  0,  0,  2.42310750403352,  0,  0,  0,  0,  0,  0
ph326,  0,  0,  0,  0,  2.76834314484654,  0,  0,  0,  0,  0
ph327,  0,  0,  0,  0,  2.91157175172643,  0,  0,  0,  0,  0
ph328,  0,  0,  0,  0,  2.87329645173524,  0,  0,  0,  0,  0
ph329,  2.15149355178749,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph330,  0,  0,  0,  0,  3.14116708429572,  0,  0,  0,  0,  0
